[31860:12892:0123/114925.411:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[31860:12892:0123/115029.592:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115029.861:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115029.861:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115029.990:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115030.385:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115030.524:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115030.719:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115030.852:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115031.119:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115031.252:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115031.258:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115031.386:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115031.595:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115031.726:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115031.860:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115032.053:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115032.185:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115032.320:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115032.719:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115032.918:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115033.318:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115033.724:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115034.321:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115034.785:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115035.253:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115036.251:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115036.385:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115036.652:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115037.530:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115038.398:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115039.396:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115039.596:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115039.798:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115040.398:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115041.329:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115041.733:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115042.397:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115042.662:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115043.000:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115043.464:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115044.715:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115045.044:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115045.507:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115046.105:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115046.311:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115046.572:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115046.905:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115047.305:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115047.505:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115048.178:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115048.511:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115049.305:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115050.308:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
